Persona_Id,Tipo_Persona_Id,Sucursal_Oficial,Zona_Oficial,Territorio_Oficial,Sexo,Estdo_Civil,Pais,Provincia,Profesion,LEGALES97,LEGALES98,LEGALES998,Convenio_Desc,Dependencia_Principal_Id,Categoria_Laboral,Dependencia_Desc,Ind_Vto_Min_Dia_Acred_Haberes,Ind_Vto_Max_Dia_Acred_Haberes,Renueva_Contrato,Segmento_Convenio_Id,Segmento_Convenio_Desc,Tipo_Convenio_Segmento_Id,Grupo_Segmento,Comportamiento_Credito_Id,Ultimo_Grupo_Segmento,Preembozo_VI,Preembozo_MA,Preembozo_AM,Producto_VI,Producto_MA,Producto_AM,Paquete_VI,Paquete_MA,Paquete_AM,Grupo_Afinidad_VI,Grupo_Afinidad_MA,Grupo_Afinidad_AM,Tipo_Pago_VI,Tipo_Pago_MA,Tipo_Pago__AM,Forma_Pago_VI,Forma_Pago_MA,Forma_Pago_AM,UPG_VISA_12,UPG_AMEX_12,UPG_MASTER_12,UPG_VISA_6,UPG_AMEX_6,UPG_MASTER_6,RUBRO_DE_MAYOR_CONS_TC,RUBRO_DE_MAYOR_CONS_TC_3,RUBRO_DE_MAYOR_CONS_TC_6,RUBRO_DE_MAYOR_CONS_TC_12,Ind_Precancelacion_PPE,CANCELA_PPE,Ind_Precancelacion_PHI,CANCELA_PHI,Fecha_Vto_PPR_Id,Ind_Precancelacion_PPR,CANCELA_PPR,PATAGONIA_ANTICIPO,UTILIZA_ADELANTO_CA,RUBRO_DE_MAYOR_CONS_TD,RUBRO_DE_MAYOR_CONS_TD_3,RUBRO_DE_MAYOR_CONS_TD_6,RUBRO_DE_MAYOR_CONS_TD_12,CARTERA,EXCLUSION,SEGMENTO,SCORECARD,Situacion_BCRA_Max_6_T,MODA_SIT_1,MODA_SIT_3,MODA_SIT_6,MODA_SIT_12,tend_monto_3_signo,tend_monto_6_signo,tend_monto_12_signo,tend_Q_3_s_signo,tend_Q_6_s_signo,tend_Q_12_s_signo,TIPO_CARTERA,VINCULACION,Status
CU 0781327043593132,F,316-Belgrano,Macrocentro,-1.000000,F,V,ARGENTINA,CAPITAL FEDERAL,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,303,,CIPOLLETTI ESMERALDA,S,N,N,JW,Jubilados,JUBI,Público,,Público,1,0,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4510,5892,-1,Pago total,Pago total,-1,Pago total de caja de ahorro,Debito en caja de ahorro,-1,I,I,I,I,I,I,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,,,,,,,,1.000000,0.000000,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,NO CURRENT,,,,,,,,,,,,PS,PS,0.000000
CU 0781327057547788,F,255-Bariloche,Cordillera,-1.000000,F,C,ARGENTINA,RIO NEGRO,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,255,000000000000000,SUCURSAL BARILOCHE,S,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,1.000000,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,CURRENT,,,,,,,,,,,,PS,PS,0.000000
CU 0781327217805738,F,251-Cipolletti,Alto Valle,-1.000000,F,C,ARGENTINA,RIO NEGRO,OTROS,0.000000,0.000000,0.000000,CONSEJO PROVINCIAL DE EDUCACION,01,,CONSEJ PCIAL EDUCACION,S,N,N,WW,Organismos Publicos,ORG,Público,,Público,0,1,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4510,5630,-1,Pago minimo,Pago minimo,-1,Pago minimo de caja de ahorro,Debito en caja de ahorro,-1,I,I,U,I,I,U,AUTOMOVIL,INDUMENTARIA,SUPERMERCADOS,SUPERMERCADOS,NO,0.000000,NO,0.000000,,NO,0.000000,1.000000,1.000000,AUTOMOVIL,INDUMENTARIA,INDUMENTARIA,SUPERMERCADOS,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110000172,F,214-Posadas,NEA,-1.000000,F,C,ARGENTINA,MISIONES,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,214,,POSADAS,S,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,1.000000,AUTOMOVIL,AUTOMOVIL,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110001964,F,287-Punta Alta,Viedma,-1.000000,F,V,ARGENTINA,BUENOS AIRES,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,1,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,9462,-1,-1,Pago total,-1,-1,Pago por ventanilla,-1,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,,,,,,,CG,SIN PROD CRED,MA,CURRENT,,1,1,1,1,,,,,,,CG,CG,1.000000
CU 0800110008284,F,227-Jujuy,NOA,-1.000000,F,S,ARGENTINA,JUJUY,OTROS,0.000000,0.000000,0.000000,UNIVERSIDAD NAC DE JUJUY,HUMA,NO DOCENTE,FACULTAD DE HUMANIDADES Y CS.SS.,S,N,-1,UW,Universidades,UNI,Público,,Público,1,-1,-1,VISA GOLD,-1,-1,No Aplica,-1,-1,9259,-1,-1,Pago minimo,-1,-1,Pago minimo de caja de ahorro,-1,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,1.000000,1.000000,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110045437,F,250-Viedma,Viedma,-1.000000,M,S,ARGENTINA,RIO NEGRO,OTROS,0.000000,0.000000,0.000000,MINISTERIO DE GOBIERNO,01,01,MINISTERIO DE GOBIERNOO,S,N,N,WW,Organismos Publicos,ORG,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,1.000000,,,,,PS,OK,Publico,NO CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110045521,F,292-Bariloche Onelli,Cordillera,-1.000000,F,S,ARGENTINA,RIO NEGRO,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,,,,,CG,SIN PROD CRED,MA,CURRENT,,1,1,1,1,,,,,,,CG,CG,0.000000
CU 0800110045671,F,253-Villa Regina,Alto Valle,-1.000000,M,S,ARGENTINA,RIO NEGRO,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,253,,SUCURSAL VILLA REGINA,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,0,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4510,5892,-1,Pago total,Pago total,-1,Pago total de caja de ahorro,Debito en caja de ahorro,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,1.000000,0.000000,,,,,PS,SIN UTILIZACION,Publico,CURRENT,,2,2,default,default,,,,,,,PS,PS,1.000000
CU 080011004633,F,206-La Plata,AMBA Sur,-1.000000,F,S,ARGENTINA,BUENOS AIRES,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG,SIN PROD CRED,MA,CURRENT,,,,,,,,,,,,CG,CG,0.000000
CU 0800110046584,F,024-P. Centenario,Macrocentro,-1.000000,M,S,ARGENTINA,CAPITAL FEDERAL,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,0,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4509,-1,-1,Pago total,-1,-1,Pago total de caja de ahorro,-1,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,0.000000,0.000000,,,,,CG,SIN PROD CRED,MA,CURRENT,,1,1,1,1,,,,,,,CG,CG,0.000000
CU 0800110058547,F,203-Santa Fe,Rosario,-1.000000,F,C,ARGENTINA,SANTA FE,OTROS,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,203,,SUCURSAL SANTA FE,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago minimo,-1,-1,Pago minimo de caja de ahorro,-1,-1,I,I,I,I,I,I,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,NO,0.000000,NO,0.000000,,NO,0.000000,1.000000,1.000000,AUTOMOVIL,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,CURRENT,,4,4,1,1,,,,,,,PS,PS,1.000000
CU 0800110077525,F,300-Mendoza Barrio Civico,Cuyo,-1.000000,F,C,ARGENTINA,MENDOZA,OTROS,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,300,,MENDOZA BARRIO CIVICO,S,S,N,JW,Jubilados,JUBI,Público,,Público,0,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago total,-1,-1,Pago total de caja de ahorro,-1,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,1.000000,0.000000,,,,,PS,SIN UTILIZACION,Publico,CURRENT,,,,,,,,,,,,PS,PS,0.000000
CU 0800110080278,F,146-Clinicas,Macrocentro,-1.000000,F,C,ARGENTINA,CAPITAL FEDERAL,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,146,,SUCURSAL BARRIO NORTE,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,0,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4510,5892,-1,Pago total,Pago total,-1,Pago total de caja de ahorro,Debito en caja de ahorro,-1,I,I,I,I,I,I,AUTOMOVIL,AUTOMOVIL,INDUMENTARIA,INDUMENTARIA,,,,,,,,1.000000,0.000000,SUPERMERCADOS,INDUMENTARIA,INDUMENTARIA,INDUMENTARIA,PS,OK,Publico,CURRENT,,,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110084115,F,047-Haedo,AMBA Oeste,-1.000000,F,C,ARGENTINA,BUENOS AIRES,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,047,,SUCURSAL HAEDO,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago total,-1,-1,Pago total de caja de ahorro,-1,-1,U,D,I,I,I,I,AUTOMOVIL,AUTOMOVIL,INDUMENTARIA,OTROS,,,,,,,,1.000000,0.000000,AUTOMOVIL,HOGAR_DECO,SUPERMERCADOS,INDUMENTARIA,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110085150,F,236-Liniers,AMBA Oeste,-1.000000,M,S,ARGENTINA,CAPITAL FEDERAL,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,0,0,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4509,5630,-1,Pago total,Pago total,-1,Pago total de caja de ahorro,Debito en caja de ahorro,-1,U,I,U,U,I,U,SUPERMERCADOS,AUTOMOVIL,AUTOMOVIL,SUPERMERCADOS,,,,,,,,0.000000,0.000000,,,,,CG,OK,MA,CURRENT,,,,,,,,,,,,CG,CG,0.000000
CU 0800110086129,F,106-Botanico,Macrocentro,-1.000000,F,E,ARGENTINA,BUENOS AIRES,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,048,,LOMAS DE ZAMORA,S,N,N,JW,Jubilados,JUBI,Público,,Público,1,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,6687,-1,-1,Pago total,-1,-1,Pago por ventanilla,-1,-1,I,I,I,I,I,I,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,,,,,,,,1.000000,0.000000,INDUMENTARIA,INDUMENTARIA,INDUMENTARIA,INDUMENTARIA,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110087709,F,117-Malabia,Macrocentro,-1.000000,F,V,ARGENTINA,CAPITAL FEDERAL,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,117,,AV SCALABRINI ORTIZ,S,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,0.000000,,,,,PS,SIN UTILIZACION,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110088080,F,023-Irigoyen,Microcentro,-1.000000,F,S,ARGENTINA,CAPITAL FEDERAL,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,023,,SUCURSAL IRIGOYEN,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago total,-1,-1,Pago total de caja de ahorro,-1,-1,I,I,D,I,I,I,-1,-1,-1,-1,,,,,,,,1.000000,0.000000,,,,,PS,SIN UTILIZACION,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110091378,F,218-Corrientes,NEA,-1.000000,M,S,ARGENTINA,CORRIENTES,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,,,,,CG,SIN PROD CRED,MA,CURRENT,,,,,,,,,,,,CG,CG,0.000000
CU 0800110098753,F,205-Mar del Plata,Buenos Aires Sur,-1.000000,F,S,ARGENTINA,BUENOS AIRES,AMA DE CASA,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,1,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,5205,-1,-1,Pago total,-1,-1,Pago por ventanilla,-1,-1,I,I,I,I,I,I,HOGAR_ELECTRO,HOGAR_ELECTRO,HOGAR_ELECTRO,INDUMENTARIA,,,,,,,,,,,,,,CG,OK,MA,CURRENT,,1,1,1,1,,,,,,,CG,CG,0.000000
CU 0800110098763,F,205-Mar del Plata,Buenos Aires Sur,-1.000000,M,S,ARGENTINA,BUENOS AIRES,IND.ADMN/GESTOR,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,0,-1,-1,VISA GOLD,-1,-1,No Aplica,-1,-1,5205,-1,-1,Pago total,-1,-1,Pago por ventanilla,-1,-1,I,I,I,I,I,I,AUTOMOVIL,AUTOMOVIL,OTROS,OTROS,,,,,,,,,,,,,,CG,OK,MA,CURRENT,,1,1,1,1,,,,,,,CG,CG,0.000000
CU 0800110099092,F,351-M del Plata-Luro,Buenos Aires Sur,-1.000000,F,S,ARGENTINA,BUENOS AIRES,OTROS,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,1,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,5205,-1,-1,Pago total,-1,-1,Pago por ventanilla,-1,-1,I,I,I,I,I,I,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,,,,,,,,,,,,,,CG,OK,MA,CURRENT,,1,1,1,1,,,,,,,CG,CG,0.000000
CU 0800110099135,F,205-Mar del Plata,Buenos Aires Sur,-1.000000,F,S,ARGENTINA,BUENOS AIRES,AMA DE CASA,0.000000,0.000000,0.000000,Sin Informar,-1,,Sin Informar,N,N,-1,-1,Sin Informar,-1,Sin Informar,,Sin Informar,1,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,5205,-1,-1,Pago total,-1,-1,Pago por ventanilla,-1,-1,I,I,I,I,I,I,-1,-1,-1,-1,,,,,,,,,,,,,,CG,SIN PROD CRED,MA,CURRENT,,1,1,1,1,,,,,,,CG,CG,0.000000
CU 0800110102991,F,053-Bahia Blanca,Viedma,-1.000000,F,C,ARGENTINA,BUENOS AIRES,CONTADOR,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,053,,BAHIA BLANCA,N,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,0.000000,,,,,CG,SIN UTILIZACION,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110107276,F,333-Ramos Mejia,AMBA Oeste,-1.000000,F,V,ARGENTINA,BUENOS AIRES,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,333,,RAMOS MEJIA,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,-1,-1,VISA CLASSIC,-1,-1,No Aplica,-1,-1,4510,-1,-1,Pago total,-1,-1,Pago total de caja de ahorro,-1,-1,U,I,I,I,I,I,INDUMENTARIA,INDUMENTARIA,INDUMENTARIA,HOGAR_ELECTRO,,,,,,,,1.000000,0.000000,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110110198,F,292-Bariloche Onelli,Cordillera,-1.000000,F,C,ARGENTINA,RIO NEGRO,JUBIL./PENS.,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,292,,BARILOCHE ONELLI,S,N,N,JW,Jubilados,JUBI,Público,,Público,0,0,-1,VISA CLASSIC,MASTERCARD INTERNACIONAL,-1,No Aplica,No Aplica,-1,4510,5892,-1,Pago total,Pago total,-1,Pago total de caja de ahorro,Debito en caja de ahorro,-1,I,I,D,I,I,I,-1,-1,-1,-1,,,,,,,,0.000000,0.000000,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,SIN PROD CRED,Publico,CURRENT,,,,,,,,,,,,PS,PS,0.000000
CU 0800110111885,F,143-San Miguel,AMBA Oeste,-1.000000,M,C,ARGENTINA,BUENOS AIRES,OTROS,0.000000,0.000000,0.000000,FERROCARRIL GRAL BELGRANO,143,,143,S,N,-1,WW,Organismos Publicos,ORG,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,0.000000,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,SUPERMERCADOS,PS,OK,Publico,CURRENT,,1,1,1,1,,,,,,,PS,PS,0.000000
CU 0800110113108,F,044-Villa Ballester,AMBA Oeste,-1.000000,M,S,ARGENTINA,BUENOS AIRES,OTROS,0.000000,0.000000,0.000000,ANSES PAGO JUBILACIONES,044,,SUCURSAL VILLA BALLESTER,N,N,N,JW,Jubilados,JUBI,Público,,Público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,,,,,CG,SIN PROD CRED,Publico,CURRENT,,1,1,1,1,,,,,,,CG,CG,0.000000
