Sucursal_Oficial,Sueldo_Normalizado
"265-Allen",22562
"116-Olleros",30640
"045-San Nicolas",13348
"376-Dep.Bridgestone Argentina",44173
"285-Formosa",9859
"310-Suc. Catalinas",11203
"133-Av.Entre Rios",15726
"208-Resistencia",7392
"049-Dardo Rocha",16386
"306-Concepcion del Uruguay",24711
"306-Concepcion del Uruguay",20792
"267-Puerto Deseado",45088
"286-Villa Mercedes",42242
"286-Villa Mercedes",36475
"286-Villa Mercedes",42901
"326-San Isidro",44734
"306-Concepcion del Uruguay",25914
"291-Godoy Cruz",14045
"080-Rosario",24928
"358-Puerto Madero",24382
"291-Godoy Cruz",40515
"214-Posadas",30986
"346-Salta Sur",15314
"360-Orono",14079
"143-San Miguel",4623
"100-Microcentro",47485
"147-Cabildo",6073
"227-Jujuy",10614
"356-Chilecito",7641
"309-Suc. Paso de los Libres",31430
"306-Concepcion del Uruguay",23823
"306-Concepcion del Uruguay",19989
"306-Concepcion del Uruguay",26744
"286-Villa Mercedes",36163
"163-Zarate",28299
"337-Tribunales",39400
"010-Casa Central",45647
"255-Bariloche",21086
"323-Barrio Norte",21633
"302-Vicente López",15991
"286-Villa Mercedes",43605
"306-Concepcion del Uruguay",29157
"306-Concepcion del Uruguay",22778
"251-Cipolletti",18446
"208-Resistencia",26781
"049-Dardo Rocha",15121
"043-Tigre",56249
"207-Parana",14580
"297-Comodoro Industrial",54411
"217-Cdoro Rivadavia",95235
"286-Villa Mercedes",29507
"229-Trelew",7166
"208-Resistencia",17999
"208-Resistencia",27655
"208-Resistencia",21438
"010-Casa Central",21964
"080-Rosario",41124
"329-Panamericana",19317
"261-Ing. Jacobacci",18792
"207-Parana",29265
"207-Parana",27051
"334-San Rafael",27239
"207-Parana",27252
"163-Zarate",21495
"045-San Nicolas",25504
"265-Allen",8021
"229-Trelew",21193
"311-Almagro",14992
"070-Cordoba",19987
"286-Villa Mercedes",39792
"373-Gualeguaychu",22438
"373-Gualeguaychu",27412
"373-Gualeguaychu",26477
"373-Gualeguaychu",26771
"373-Gualeguaychu",9261
"208-Resistencia",26281
"205-Mar del Plata",9035
"255-Bariloche",20422
"020-Abasto",40906
"115-Paseo Colon",15398
"030-Libertador",38344
"362-RAWSON",13537
"147-Cabildo",19638
"312-Avenida Callao",29929
"312-Avenida Callao",83864
"046-Avellaneda",24622
"378-Junin",31165
"280-Rio Cuarto",11812
"280-Rio Cuarto",7068
"286-Villa Mercedes",31093
"133-Av.Entre Rios",15734
"134-Av.Emilio Castro",11393
"018-Beiro",22230
"210-San Juan",18806
"048-Lomas de Zamora",22874
"302-Vicente López",12285
"306-Concepcion del Uruguay",25878
"207-Parana",28121
"306-Concepcion del Uruguay",20153
"306-Concepcion del Uruguay",22967
"207-Parana",21244
"080-Rosario",31455
"351-M del Plata-Luro",19862
"326-San Isidro",19363
"302-Vicente López",17196
"214-Posadas",6174
"010-Casa Central",26706
"142-Lanus Oeste",5616
"147-Cabildo",12869
"286-Villa Mercedes",41132
"253-Villa Regina",16197
"042-San Justo",41168
"285-Formosa",19853
"022-Flores",24240
"010-Casa Central",32338
"261-Ing. Jacobacci",18811
"306-Concepcion del Uruguay",25682
"306-Concepcion del Uruguay",21154
"306-Concepcion del Uruguay",26369
"306-Concepcion del Uruguay",26509
"306-Concepcion del Uruguay",12640
"306-Concepcion del Uruguay",25500
"306-Concepcion del Uruguay",26810
"306-Concepcion del Uruguay",27848
"306-Concepcion del Uruguay",30521
"306-Concepcion del Uruguay",23238
"306-Concepcion del Uruguay",26305
"286-Villa Mercedes",24163
"303-Cipolletti Esmeralda",47430
"205-Mar del Plata",18487
"306-Concepcion del Uruguay",37848
"285-Formosa",25011
"214-Posadas",12763
"348-Caseros",16688
"300-Mendoza Barrio Civico",23794
"214-Posadas",32297
"101-Caballito",19994
"344-Berazategui",13035
"306-Concepcion del Uruguay",24498
"286-Villa Mercedes",15945
"286-Villa Mercedes",33989
"286-Villa Mercedes",36447
"225-San Luis",22938
"305-Corrientes 3 de Abril",21171
"369-Pilar Industrial",26929
"251-Cipolletti",53997
"056-Pueyrredon",16538
"286-Villa Mercedes",25249
"373-Gualeguaychu",17091
"218-Corrientes",18196
"305-Corrientes 3 de Abril",25171
"263-El Bolsón",18238
"250-Viedma",30889
"205-Mar del Plata",14706
"373-Gualeguaychu",14391
"373-Gualeguaychu",27798
"101-Caballito",14107
"315-Barracas",25446
"100-Microcentro",24551
"216-Salta",7957
"211-Tucuman",48746
"323-Barrio Norte",26438
"042-San Justo",26500
"286-Villa Mercedes",15338
"306-Concepcion del Uruguay",19510
"306-Concepcion del Uruguay",25274
"306-Concepcion del Uruguay",27027
"207-Parana",30778
"207-Parana",23326
"306-Concepcion del Uruguay",28933
"306-Concepcion del Uruguay",25760
"306-Concepcion del Uruguay",27306
"010-Casa Central",27636
"306-Concepcion del Uruguay",34381
"291-Godoy Cruz",48563
"326-San Isidro",38027
"223-Rio Gallegos",27663
"217-Cdoro Rivadavia",23412
"042-San Justo",30986
"250-Viedma",45058
"029-Villa Urquiza",5817
"080-Rosario",34999
"133-Av.Entre Rios",33430
"043-Tigre",7388
"145-San Martin",15426
"160-Lavalle",7108
"306-Concepcion del Uruguay",32962
"257-Catriel",11564
"119-Once",34021
"043-Tigre",2118
"029-Villa Urquiza",33419
"024-P. Centenario",5044
"286-Villa Mercedes",44240
"286-Villa Mercedes",14218
"119-Once",26725
"128-Moron",33132
"042-San Justo",34370
"070-Cordoba",68747
"134-Av.Emilio Castro",29993
"080-Rosario",8523
"080-Rosario",18523
"160-Lavalle",6844
"045-San Nicolas",32300
"305-Corrientes 3 de Abril",26578
"376-Dep.Bridgestone Argentina",34198
"358-Puerto Madero",30171
"288-Puerto Madryn",129570
"207-Parana",648
"207-Parana",16349
"290-Mar del Plata Pu",32538
"070-Cordoba",29280
"360-Orono",19355
"308-Suc. La Plata - Calle 44",19868
"050-Campana",21729
"353-Reconquista",25756
"306-Concepcion del Uruguay",22227
"208-Resistencia",28774
"145-San Martin",16904
"070-Cordoba",1466
"302-Vicente López",14130
"070-Cordoba",30835
"306-Concepcion del Uruguay",23975
"339-Tortuguitas",44913
"147-Cabildo",15344
"286-Villa Mercedes",20215
"286-Villa Mercedes",32427
"214-Posadas",18106
"358-Puerto Madero",32945
"312-Avenida Callao",15500
"251-Cipolletti",13061
"378-Junin",20025
"230-Ushuaia",32016
"214-Posadas",23905
"112-Alvarez Jonte",24598
"326-San Isidro",822
"070-Cordoba",38589
"043-Tigre",11241
"257-Catriel",31807
"210-San Juan",34716
"070-Cordoba",41847
"253-Villa Regina",27723
"100-Microcentro",24453
"333-Ramos Mejia",30126
"105-Tapiales",37811
"376-Dep.Bridgestone Argentina",30977
"070-Cordoba",23000
"286-Villa Mercedes",41730
"286-Villa Mercedes",28709
"286-Villa Mercedes",52870
"286-Villa Mercedes",19775
"286-Villa Mercedes",35151
"306-Concepcion del Uruguay",19919
"306-Concepcion del Uruguay",27655
"147-Cabildo",14326
"029-Villa Urquiza",16819
"290-Mar del Plata Pu",32657
"046-Avellaneda",26374
"337-Tribunales",17167
"133-Av.Entre Rios",20747
"060-Mendoza",28131
"145-San Martin",26974
"207-Parana",22484
"306-Concepcion del Uruguay",24379
"026-Villa Luro",21400
"299-Viedma Centro",14647
"223-Rio Gallegos",29196
"053-Bahia Blanca",31355
"210-San Juan",30181
"306-Concepcion del Uruguay",18438
"297-Comodoro Industrial",45161
"252-S. Antonio Oeste",24027
"377-Chacarita",10000
"018-Beiro",15089
"306-Concepcion del Uruguay",26118
"263-El Bolsón",4896
"207-Parana",23076
"223-Rio Gallegos",11610
"306-Concepcion del Uruguay",26636
"306-Concepcion del Uruguay",33725
"306-Concepcion del Uruguay",25825
"203-Santa Fe",11611
"305-Corrientes 3 de Abril",29484
"317-Calle Tucuman",13650
"080-Rosario",2265
"048-Lomas de Zamora",3500
"218-Corrientes",26069
"116-Olleros",42900
"306-Concepcion del Uruguay",21264
"100-Microcentro",35759
"286-Villa Mercedes",17249
"286-Villa Mercedes",37481
"286-Villa Mercedes",38328
"286-Villa Mercedes",14005
"286-Villa Mercedes",34546
"286-Villa Mercedes",37063
"286-Villa Mercedes",3391
"306-Concepcion del Uruguay",22288
"306-Concepcion del Uruguay",17957
"286-Villa Mercedes",42607
"286-Villa Mercedes",32070
"324-Calle Florida",31209
"250-Viedma",14000
"291-Godoy Cruz",43815
"218-Corrientes",20191
"309-Suc. Paso de los Libres",13011
"128-Moron",34766
"001-Areas Centrales",51712
"119-Once",28770
"060-Mendoza",12469
"255-Bariloche",29558
"261-Ing. Jacobacci",8439
"146-Clinicas",24015
"053-Bahia Blanca",8724
"333-Ramos Mejia",25380
"351-M del Plata-Luro",30990
"257-Catriel",16959
"251-Cipolletti",9859
"306-Concepcion del Uruguay",33540
"306-Concepcion del Uruguay",24802
"101-Caballito",19644
"358-Puerto Madero",12919
"042-San Justo",27115
"147-Cabildo",8357
"070-Cordoba",3772
"146-Clinicas",3887
"306-Concepcion del Uruguay",24938
"207-Parana",23462
"306-Concepcion del Uruguay",25349
"272-Caleta Olivia",25784
"227-Jujuy",32054
"286-Villa Mercedes",40125
"207-Parana",27158
"207-Parana",33768
"100-Microcentro",22692
"358-Puerto Madero",26523
"142-Lanus Oeste",30866
"306-Concepcion del Uruguay",27725
"286-Villa Mercedes",33744
"207-Parana",19272
"263-El Bolsón",19141
"373-Gualeguaychu",20248
"306-Concepcion del Uruguay",33035
"070-Cordoba",20365
"306-Concepcion del Uruguay",29427
"160-Lavalle",3000
"045-San Nicolas",13381
"220-Gral. Roca",15133
"044-Villa Ballester",18585
"291-Godoy Cruz",45134
"345-Adrogue",14257
"027-Av. San Juan",23237
"362-RAWSON",6944
"370-Laferrere",35382
"029-Villa Urquiza",17949
"252-S. Antonio Oeste",23678
"024-P. Centenario",10277
"147-Cabildo",19665
"020-Abasto",8046
"312-Avenida Callao",34305
"306-Concepcion del Uruguay",25579
"128-Moron",25658
"353-Reconquista",15143
"335-Cerrito",8421
"381-Jose C. Paz",38100
"200-Congreso",30778
"302-Vicente López",27125
"214-Posadas",26590
"020-Abasto",26150
"234-Lanus Este",16814
"046-Avellaneda",22498
"316-Belgrano",12147
"024-P. Centenario",15426
"080-Rosario",8376
"302-Vicente López",311
"207-Parana",12506
"207-Parana",33783
"207-Parana",25144
"348-Caseros",30175
"306-Concepcion del Uruguay",31048
"306-Concepcion del Uruguay",29743
"306-Concepcion del Uruguay",26516
"306-Concepcion del Uruguay",26426
"306-Concepcion del Uruguay",22553
"306-Concepcion del Uruguay",25415
"306-Concepcion del Uruguay",23153
"203-Santa Fe",17721
"362-RAWSON",26097
"214-Posadas",43956
"207-Parana",16944
"128-Moron",36920
"207-Parana",29558
"223-Rio Gallegos",24354
"042-San Justo",33757
"312-Avenida Callao",24915
"046-Avellaneda",13644
"296-Rosario Sur",38676
"369-Pilar Industrial",19421
"339-Tortuguitas",25716
"255-Bariloche",30619
"210-San Juan",53788
"358-Puerto Madero",16436
"030-Libertador",16571
"317-Calle Tucuman",22035
"265-Allen",20040
"119-Once",20618
"312-Avenida Callao",57854
"216-Salta",12262
"134-Av.Emilio Castro",34000
"205-Mar del Plata",23531
"286-Villa Mercedes",25657
"115-Paseo Colon",8000
"106-Botanico",47755
"160-Lavalle",47000
"131-Quilmes",17765
"298-Ezeiza",19507
"305-Corrientes 3 de Abril",21808
"131-Quilmes",15249
"220-Gral. Roca",16273
"027-Av. San Juan",18138
"070-Cordoba",8883
"281-Rio Grande",53419
"208-Resistencia",16880
"042-San Justo",19617
"146-Clinicas",90342
"302-Vicente López",10084
"220-Gral. Roca",8439
"041-Munro",16423
"286-Villa Mercedes",12280
"070-Cordoba",41609
"203-Santa Fe",21743
"304-Avenida de Mayo",23559
"010-Casa Central",28928
"310-Suc. Catalinas",32827
"207-Parana",27916
"286-Villa Mercedes",27585
"312-Avenida Callao",19478
"286-Villa Mercedes",44486
"286-Villa Mercedes",42629
"286-Villa Mercedes",30267
"286-Villa Mercedes",35217
"324-Calle Florida",42934
"046-Avellaneda",7853
"205-Mar del Plata",17260
"250-Viedma",19283
"051-Escobar",12735
"251-Cipolletti",5357
"329-Panamericana",10210
"043-Tigre",4415
"326-San Isidro",29031
"060-Mendoza",25892
"288-Puerto Madryn",16892
"302-Vicente López",33369
"046-Avellaneda",88947
"041-Munro",30319
"329-Panamericana",12146
"305-Corrientes 3 de Abril",13848
"216-Salta",46151
"030-Libertador",46321
"376-Dep.Bridgestone Argentina",27808
"227-Jujuy",18142
"286-Villa Mercedes",24205
"214-Posadas",8738
"345-Adrogue",17673
"306-Concepcion del Uruguay",18770
"163-Zarate",8571
"360-Orono",4667
"373-Gualeguaychu",23657
"324-Calle Florida",16144
"306-Concepcion del Uruguay",27539
"306-Concepcion del Uruguay",32289
"050-Campana",8231
"306-Concepcion del Uruguay",16307
"306-Concepcion del Uruguay",28934
"286-Villa Mercedes",10500
"205-Mar del Plata",25578
"147-Cabildo",17828
"255-Bariloche",14773
"312-Avenida Callao",42497
"286-Villa Mercedes",27056
"018-Beiro",23048
"010-Casa Central",7750
"373-Gualeguaychu",16866
"207-Parana",39114
"160-Lavalle",22089
"143-San Miguel",24369
"112-Alvarez Jonte",8571
"353-Reconquista",31995
"203-Santa Fe",27250
"353-Reconquista",25844
"353-Reconquista",26443
"010-Casa Central",35411
"311-Almagro",5066
"280-Rio Cuarto",14200
"251-Cipolletti",63174
"251-Cipolletti",14938
"286-Villa Mercedes",34417
"286-Villa Mercedes",25880
"286-Villa Mercedes",40729
"133-Av.Entre Rios",25421
"046-Avellaneda",14540
"214-Posadas",32127
"309-Suc. Paso de los Libres",7012
"134-Av.Emilio Castro",34489
"297-Comodoro Industrial",106307
"255-Bariloche",30500
"225-San Luis",17328
"207-Parana",28113
"207-Parana",24515
"286-Villa Mercedes",30048
"214-Posadas",35865
"214-Posadas",28949
"080-Rosario",22750
"080-Rosario",20933
"337-Tribunales",17506
"316-Belgrano",62535
"203-Santa Fe",21451
"337-Tribunales",56256
"200-Congreso",15939
"265-Allen",16009
"133-Av.Entre Rios",15245
"100-Microcentro",8571
"128-Moron",22273
"304-Avenida de Mayo",26273
"133-Av.Entre Rios",16741
"143-San Miguel",13512
"163-Zarate",20795
"373-Gualeguaychu",27067
"070-Cordoba",12658
"377-Chacarita",21651
"060-Mendoza",41793
"251-Cipolletti",11229
"203-Santa Fe",17186
"329-Panamericana",52873
"221-La Rioja",23400
"030-Libertador",16283
"105-Tapiales",24132
"305-Corrientes 3 de Abril",15254
"286-Villa Mercedes",32418
"337-Tribunales",40989
"214-Posadas",14509
"306-Concepcion del Uruguay",26460
"306-Concepcion del Uruguay",21892
"306-Concepcion del Uruguay",23840
"306-Concepcion del Uruguay",25094
"210-San Juan",38297
"210-San Juan",18839
"208-Resistencia",16899
"255-Bariloche",23295
"306-Concepcion del Uruguay",36423
"049-Dardo Rocha",16754
"043-Tigre",16395
"305-Corrientes 3 de Abril",24675
"326-San Isidro",188034
"339-Tortuguitas",30847
"309-Suc. Paso de los Libres",12096
"286-Villa Mercedes",49834
"001-Areas Centrales",9033
"103-Boedo",30813
"286-Villa Mercedes",14197
"306-Concepcion del Uruguay",34232
"335-Cerrito",5606
"306-Concepcion del Uruguay",26264
"051-Escobar",14764
"329-Panamericana",43504
"306-Concepcion del Uruguay",32996
"128-Moron",28530
"302-Vicente López",13937
"263-El Bolsón",32917
"106-Botanico",25127
"337-Tribunales",27500
"312-Avenida Callao",54093
"147-Cabildo",14164
"346-Salta Sur",23898
"045-San Nicolas",37497
"043-Tigre",27328
"106-Botanico",70346
"207-Parana",19001
"326-San Isidro",12281
"106-Botanico",52192
"286-Villa Mercedes",31575
"286-Villa Mercedes",48924
"080-Rosario",25250
"284-Sgo del Estero",33386
"306-Concepcion del Uruguay",25160
"280-Rio Cuarto",39343
"253-Villa Regina",38954
"146-Clinicas",1
"255-Bariloche",43282
"264-Choele Choel",11287
"110-Saenz Pena",19249
"101-Caballito",16288
"211-Tucuman",14631
"286-Villa Mercedes",30427
"369-Pilar Industrial",30127
"214-Posadas",24616
"281-Rio Grande",31265
"264-Choele Choel",27426
"255-Bariloche",14079
"306-Concepcion del Uruguay",22912
"234-Lanus Este",18296
"305-Corrientes 3 de Abril",36359
"206-La Plata",26987
"029-Villa Urquiza",58331
"104-Mataderos",12672
"017-Palermo",21252
"255-Bariloche",17941
"306-Concepcion del Uruguay",18204
"306-Concepcion del Uruguay",22406
"146-Clinicas",10673
"306-Concepcion del Uruguay",22436
"306-Concepcion del Uruguay",25673
"018-Beiro",15707
"214-Posadas",22736
"309-Suc. Paso de los Libres",6270
"056-Pueyrredon",3121
"049-Dardo Rocha",18848
"029-Villa Urquiza",19172
"163-Zarate",6855
"010-Casa Central",9925
"294-Sierra Grande",5587
"302-Vicente López",7201
"040-Monte Grande",8207
"376-Dep.Bridgestone Argentina",35804
"378-Junin",28663
"218-Corrientes",25933
"300-Mendoza Barrio Civico",40000
"301-Neuquen Sur",15651
"253-Villa Regina",41596
"043-Tigre",19019
"323-Barrio Norte",35319
"251-Cipolletti",55
"373-Gualeguaychu",29078
"373-Gualeguaychu",21778
"373-Gualeguaychu",25528
"373-Gualeguaychu",16654
"020-Abasto",33246
"286-Villa Mercedes",30295
"051-Escobar",6408
"264-Choele Choel",27944
"335-Cerrito",25940
"041-Munro",28072
"251-Cipolletti",0
"337-Tribunales",12607
"306-Concepcion del Uruguay",25944
"306-Concepcion del Uruguay",19924
"040-Monte Grande",29248
"323-Barrio Norte",48440
"286-Villa Mercedes",42389
"160-Lavalle",21631
"010-Casa Central",16174
"107-Villa Devoto",9878
"356-Chilecito",68541
"070-Cordoba",21249
"362-RAWSON",18248
"348-Caseros",20086
"207-Parana",34293
"207-Parana",18704
"207-Parana",32312
"207-Parana",21409
"207-Parana",29757
"001-Areas Centrales",0
"160-Lavalle",30148
"049-Dardo Rocha",18496
"057-Pilar",56551
"312-Avenida Callao",28134
"370-Laferrere",44130
"351-M del Plata-Luro",16052
"351-M del Plata-Luro",17862
"281-Rio Grande",29886
"306-Concepcion del Uruguay",17897
"220-Gral. Roca",20202
"306-Concepcion del Uruguay",26556
"144-Martinez",40239
"133-Av.Entre Rios",24363
"214-Posadas",23905
"207-Parana",15256
"306-Concepcion del Uruguay",38466
"335-Cerrito",14018
"060-Mendoza",32239
"060-Mendoza",34461
"045-San Nicolas",27113
"225-San Luis",43552
"049-Dardo Rocha",17315
"236-Liniers",14856
"303-Cipolletti Esmeralda",30704
"329-Panamericana",15130
"080-Rosario",2647
"080-Rosario",8553
"203-Santa Fe",34696
"306-Concepcion del Uruguay",27027
"306-Concepcion del Uruguay",15886
"042-San Justo",27432
"045-San Nicolas",15827
"312-Avenida Callao",51509
"282-Av. Fuerza Aerea",29569
"286-Villa Mercedes",46405
"288-Puerto Madryn",19648
"251-Cipolletti",14275
"100-Microcentro",22654
"144-Martinez",17947
"351-M del Plata-Luro",25208
"100-Microcentro",30000
"234-Lanus Este",23916
"358-Puerto Madero",44839
"030-Libertador",49883
"044-Villa Ballester",33501
"223-Rio Gallegos",11643
"223-Rio Gallegos",40196
"251-Cipolletti",28475
"312-Avenida Callao",23497
"221-La Rioja",12861
"305-Corrientes 3 de Abril",13982
"143-San Miguel",10037
"376-Dep.Bridgestone Argentina",57079
"329-Panamericana",28915
"214-Posadas",10096
"379-San Lorenzo",24649
"104-Mataderos",8907
"230-Ushuaia",54269
"286-Villa Mercedes",43246
"043-Tigre",37119
"286-Villa Mercedes",25064
"286-Villa Mercedes",7233
"286-Villa Mercedes",18848
"001-Areas Centrales",14733
"207-Parana",28101
"207-Parana",20835
"324-Calle Florida",26010
"255-Bariloche",19113
"022-Flores",15045
"376-Dep.Bridgestone Argentina",40723
"070-Cordoba",19445
"286-Villa Mercedes",20368
"203-Santa Fe",34132
"224-Catamarca",75000
"292-Bariloche Onelli",37721
"305-Corrientes 3 de Abril",16779
"010-Casa Central",18700
"306-Concepcion del Uruguay",27487
"306-Concepcion del Uruguay",28287
"163-Zarate",26422
"134-Av.Emilio Castro",17276
"306-Concepcion del Uruguay",24042
"306-Concepcion del Uruguay",32719
"306-Concepcion del Uruguay",19405
"306-Concepcion del Uruguay",31746
"306-Concepcion del Uruguay",26811
"128-Moron",35437
"010-Casa Central",10084
"214-Posadas",16662
"043-Tigre",20227
"287-Punta Alta",30850
"377-Chacarita",15957
"057-Pilar",16610
"306-Concepcion del Uruguay",30869
"220-Gral. Roca",15156
"100-Microcentro",33816
"252-S. Antonio Oeste",14352
"131-Quilmes",17712
"311-Almagro",6857
"214-Posadas",30602
"205-Mar del Plata",24484
"341-Villa María",158519
"212-Neuquen",39221
"107-Villa Devoto",18000
"145-San Martin",40062
"344-Berazategui",16944
"305-Corrientes 3 de Abril",13815
